index,Ship Mode,Predicted
47537,Second Class,
23952,First Class,Standard Class
43629,Standard Class,Standard Class
18157,Standard Class,Standard Class
14738,Second Class,Standard Class
44441,Standard Class,Standard Class
2644,Standard Class,Standard Class
7255,Standard Class,Standard Class
13704,First Class,Standard Class
21681,Standard Class,Standard Class
43483,Standard Class,Standard Class
5442,Standard Class,Standard Class
49154,Second Class,Standard Class
14313,Second Class,Standard Class
3743,Second Class,Standard Class
21385,Standard Class,Standard Class
10171,First Class,Standard Class
29312,Second Class,Standard Class
44466,Standard Class,Standard Class
38430,Standard Class,Standard Class
11528,First Class,Standard Class
11948,Second Class,Standard Class
191,Standard Class,Standard Class
27869,First Class,Standard Class
45493,Standard Class,Standard Class
27793,Second Class,Standard Class
19917,Standard Class,Standard Class
37476,Standard Class,Standard Class
11396,Second Class,Standard Class
42677,Standard Class,Standard Class
26440,Second Class,
24081,Second Class,Standard Class
17474,Standard Class,Standard Class
13307,First Class,Standard Class
41340,Standard Class,Standard Class
5198,Standard Class,Standard Class
33209,Standard Class,Standard Class
31272,Second Class,Standard Class
13387,First Class,Standard Class
22636,Standard Class,Standard Class
15248,Second Class,Standard Class
23752,Second Class,Standard Class
29754,Second Class,Standard Class
48344,Standard Class,Standard Class
35343,Standard Class,Standard Class
17882,Standard Class,Standard Class
23117,Standard Class,Standard Class
30546,First Class,Standard Class
43696,Standard Class,Standard Class
1954,First Class,Standard Class
23827,Same Day,Standard Class
32515,Standard Class,Standard Class
22304,Standard Class,Standard Class
33109,Standard Class,Standard Class
18348,Standard Class,Standard Class
32504,Standard Class,Standard Class
41627,Standard Class,Standard Class
3466,First Class,Standard Class
35468,Standard Class,Standard Class
14185,Second Class,Standard Class
48873,Standard Class,Standard Class
19730,Standard Class,Standard Class
26171,First Class,Standard Class
43442,Standard Class,Standard Class
27883,First Class,Standard Class
27562,First Class,Standard Class
1293,Second Class,Standard Class
4622,Second Class,
17357,Standard Class,Standard Class
34938,Standard Class,Standard Class
14506,Second Class,Standard Class
34587,Standard Class,Standard Class
4861,First Class,Standard Class
49234,Standard Class,Standard Class
39400,Standard Class,Standard Class
44230,Standard Class,Standard Class
45579,Standard Class,Standard Class
43348,Standard Class,Standard Class
20996,Standard Class,Standard Class
18413,Standard Class,Standard Class
17941,Standard Class,Standard Class
26235,Second Class,Standard Class
14509,Second Class,Standard Class
45620,Standard Class,Standard Class
30734,First Class,Standard Class
27785,First Class,Standard Class
12727,Same Day,
31162,Second Class,Standard Class
45699,First Class,
46377,Standard Class,Standard Class
43341,Standard Class,Standard Class
45325,First Class,Standard Class
4047,Standard Class,Standard Class
3990,Standard Class,Standard Class
26640,Second Class,Standard Class
1777,First Class,Standard Class
4954,Standard Class,Standard Class
35639,Standard Class,Standard Class
39789,Standard Class,Standard Class
27285,Same Day,Standard Class
19834,Standard Class,Standard Class
20917,Standard Class,Standard Class
39216,Standard Class,Standard Class
9840,Second Class,Standard Class
17796,Standard Class,Standard Class
45714,Second Class,Standard Class
19126,Standard Class,Standard Class
24650,First Class,Standard Class
17622,Standard Class,Standard Class
4616,First Class,Standard Class
43379,Standard Class,Standard Class
4834,Second Class,Standard Class
25302,Same Day,
29491,Second Class,Standard Class
29676,Second Class,Standard Class
27221,Second Class,
23947,First Class,Standard Class
33629,Standard Class,Standard Class
15466,Standard Class,Standard Class
30975,Same Day,Standard Class
4671,First Class,Standard Class
13303,First Class,Standard Class
31703,Second Class,Standard Class
27036,Second Class,Standard Class
29020,First Class,
4846,Second Class,Standard Class
15832,Standard Class,Standard Class
21120,Standard Class,Standard Class
41682,Standard Class,Standard Class
49590,Same Day,
4067,Standard Class,Standard Class
23326,Standard Class,Standard Class
46176,First Class,Standard Class
34574,Standard Class,Standard Class
48169,Second Class,Standard Class
47247,Standard Class,Standard Class
33816,Standard Class,Standard Class
18138,Standard Class,Standard Class
7826,Standard Class,Standard Class
27581,First Class,Standard Class
46441,Standard Class,Standard Class
36784,Standard Class,Standard Class
27165,Second Class,
10719,Same Day,
39825,Standard Class,Standard Class
20037,Standard Class,Standard Class
10310,Second Class,Standard Class
8594,Standard Class,Standard Class
31112,Same Day,
44865,Standard Class,Standard Class
45198,Second Class,Standard Class
14623,Second Class,Standard Class
23047,Standard Class,Standard Class
13721,First Class,Standard Class
33756,Standard Class,Standard Class
25486,Second Class,Standard Class
32872,Standard Class,Standard Class
29966,Second Class,Standard Class
17237,Standard Class,Standard Class
36164,Standard Class,Standard Class
17812,Standard Class,Standard Class
45395,Standard Class,Standard Class
3588,Standard Class,Standard Class
40952,Standard Class,Standard Class
29755,Second Class,Standard Class
2982,Standard Class,Standard Class
21741,Standard Class,Standard Class
18345,Standard Class,Standard Class
29586,Second Class,Standard Class
34803,Standard Class,Standard Class
13040,First Class,
17362,Standard Class,Standard Class
259,Standard Class,Standard Class
40614,Standard Class,Standard Class
11575,Second Class,Standard Class
6120,Second Class,Standard Class
18447,Standard Class,Standard Class
49325,Standard Class,Standard Class
35280,Standard Class,Standard Class
15526,Standard Class,Standard Class
10047,Second Class,Standard Class
42655,Standard Class,Standard Class
10213,Second Class,Standard Class
49062,Standard Class,Standard Class
19459,Standard Class,Standard Class
28007,Second Class,Standard Class
46817,Standard Class,Standard Class
49118,Second Class,Standard Class
3985,Standard Class,Standard Class
43196,Standard Class,Standard Class
39060,Standard Class,Standard Class
38839,Standard Class,Standard Class
24437,Same Day,Standard Class
38798,Standard Class,Standard Class
3778,First Class,Standard Class
46147,Second Class,Standard Class
18483,Standard Class,Standard Class
10663,Same Day,
45,Standard Class,Standard Class
1256,Second Class,Standard Class
44044,Standard Class,Standard Class
5793,Standard Class,Standard Class
9708,Second Class,Standard Class
27108,Second Class,Standard Class
44716,Standard Class,Standard Class
39137,Standard Class,Standard Class
1733,First Class,Standard Class
6216,Second Class,Standard Class
5842,First Class,
19060,Standard Class,Standard Class
30114,First Class,
12601,Same Day,
39139,Standard Class,Standard Class
25883,First Class,
31818,Second Class,
18995,Standard Class,Standard Class
45068,Standard Class,Standard Class
23241,Standard Class,Standard Class
44159,Standard Class,Standard Class
28069,First Class,Standard Class
14448,Second Class,Standard Class
29571,Second Class,
4945,Standard Class,Standard Class
3566,Standard Class,Standard Class
49282,Standard Class,Standard Class
39044,Standard Class,Standard Class
30605,First Class,Standard Class
36864,Standard Class,Standard Class
49352,Standard Class,Standard Class
49452,Second Class,Standard Class
30241,First Class,Standard Class
43731,Standard Class,Standard Class
40389,Standard Class,Standard Class
5468,Standard Class,Standard Class
27646,Second Class,Standard Class
48809,Standard Class,Standard Class
23030,Standard Class,Standard Class
27148,Second Class,Standard Class
5161,Standard Class,Standard Class
27927,Second Class,Standard Class
18015,Standard Class,Standard Class
42149,Standard Class,Standard Class
49638,First Class,Standard Class
35840,Standard Class,Standard Class
33833,Standard Class,Standard Class
36103,Standard Class,Standard Class
9184,Standard Class,Standard Class
39627,Standard Class,Standard Class
12924,First Class,Standard Class
16693,Standard Class,Standard Class
8788,Standard Class,Standard Class
673,Standard Class,Standard Class
9526,Second Class,
7422,Standard Class,Standard Class
27911,Second Class,Standard Class
16834,Standard Class,Standard Class
10129,Second Class,Standard Class
3810,Same Day,Standard Class
37190,Standard Class,Standard Class
18404,Standard Class,Standard Class
19449,Standard Class,Standard Class
43599,Standard Class,Standard Class
7353,Standard Class,Standard Class
42978,Standard Class,Standard Class
15590,Standard Class,Standard Class
42870,Standard Class,Standard Class
1746,Second Class,Standard Class
2539,Standard Class,Standard Class
37099,Standard Class,Standard Class
25267,Second Class,Standard Class
7805,Standard Class,Standard Class
23681,Second Class,Standard Class
49321,Standard Class,Standard Class
35944,Standard Class,Standard Class
31723,Second Class,Standard Class
45927,Standard Class,Standard Class
11983,Second Class,Standard Class
17837,Standard Class,Standard Class
35373,Standard Class,Standard Class
33915,Standard Class,Standard Class
10206,Same Day,
44986,Standard Class,Standard Class
47962,Standard Class,Standard Class
38306,Standard Class,Standard Class
41775,Standard Class,Standard Class
25917,First Class,Standard Class
8390,Standard Class,Standard Class
12904,First Class,Standard Class
15431,Standard Class,Standard Class
17794,Standard Class,Standard Class
37883,Standard Class,Standard Class
41031,Standard Class,Standard Class
42744,Standard Class,Standard Class
14914,Second Class,Standard Class
8181,Standard Class,Standard Class
47297,Standard Class,Standard Class
42651,Standard Class,Standard Class
23593,First Class,
43432,Standard Class,Standard Class
25465,First Class,Standard Class
30254,First Class,Standard Class
30788,First Class,Standard Class
14612,Second Class,Standard Class
49187,Standard Class,Standard Class
48313,Standard Class,Standard Class
44346,Standard Class,Standard Class
32425,Standard Class,Standard Class
29724,Second Class,Standard Class
49102,Standard Class,Standard Class
6724,Standard Class,Standard Class
26890,First Class,Standard Class
36705,Standard Class,Standard Class
41326,Standard Class,Standard Class
29671,Second Class,Standard Class
11059,Same Day,Standard Class
14108,Second Class,Standard Class
23568,Second Class,Standard Class
13798,First Class,Standard Class
31062,Same Day,
33264,Standard Class,Standard Class
1314,Second Class,Standard Class
2602,Standard Class,Standard Class
31430,Second Class,Standard Class
39019,Standard Class,Standard Class
39190,Standard Class,Standard Class
30237,First Class,Standard Class
12402,Second Class,Standard Class
26531,Second Class,Standard Class
15792,Standard Class,Standard Class
2713,Standard Class,Standard Class
40633,Standard Class,Standard Class
40458,Standard Class,Standard Class
43418,Standard Class,Standard Class
14703,Second Class,Standard Class
3755,Second Class,Standard Class
26061,First Class,Standard Class
9176,Standard Class,Standard Class
18931,Standard Class,Standard Class
39887,Standard Class,Standard Class
39986,Standard Class,Standard Class
46406,Standard Class,Standard Class
5823,First Class,Standard Class
27726,Second Class,Standard Class
43485,Standard Class,Standard Class
21396,Standard Class,Standard Class
21605,Standard Class,Standard Class
7013,Standard Class,Standard Class
34281,Standard Class,Standard Class
29049,First Class,Standard Class
38782,Standard Class,Standard Class
29393,Second Class,
29521,Second Class,Standard Class
30315,First Class,Standard Class
36257,Standard Class,Standard Class
49289,Standard Class,Standard Class
26360,Second Class,Standard Class
8236,Standard Class,Standard Class
41053,Standard Class,Standard Class
36041,Standard Class,Standard Class
49431,Standard Class,Standard Class
49035,Standard Class,Standard Class
37159,Standard Class,Standard Class
30512,First Class,Standard Class
14661,Second Class,Standard Class
29634,Second Class,Standard Class
12441,Second Class,Standard Class
41146,Standard Class,Standard Class
24090,First Class,Standard Class
33562,Standard Class,Standard Class
33154,Standard Class,Standard Class
29359,Second Class,Standard Class
43204,Standard Class,Standard Class
25746,Same Day,Standard Class
8257,Standard Class,Standard Class
13897,Second Class,Standard Class
48650,Standard Class,Standard Class
37442,Standard Class,Standard Class
34854,Standard Class,Standard Class
48080,Standard Class,Standard Class
37451,Standard Class,Standard Class
39652,Standard Class,Standard Class
29172,Second Class,Standard Class
13701,First Class,Standard Class
19586,Standard Class,Standard Class
42896,Standard Class,Standard Class
22958,Standard Class,Standard Class
16778,Standard Class,Standard Class
37911,Standard Class,Standard Class
31633,Second Class,Standard Class
25221,Second Class,Standard Class
34338,Standard Class,Standard Class
28653,First Class,Standard Class
37582,Standard Class,Standard Class
8838,Standard Class,Standard Class
23750,Second Class,Standard Class
10980,Second Class,Standard Class
17942,Standard Class,Standard Class
38574,Standard Class,Standard Class
30433,First Class,Standard Class
31651,Second Class,Standard Class
30705,First Class,Standard Class
13069,First Class,Standard Class
11522,Second Class,Standard Class
13504,First Class,Standard Class
38788,Standard Class,Standard Class
34791,Standard Class,Standard Class
29852,Second Class,
21395,Standard Class,Standard Class
3219,Standard Class,Standard Class
29827,Second Class,Standard Class
47667,Second Class,
49546,Second Class,Standard Class
48247,Standard Class,Standard Class
41847,Standard Class,Standard Class
10907,Second Class,
22176,Standard Class,Standard Class
37409,Standard Class,Standard Class
48893,First Class,Standard Class
20052,Standard Class,Standard Class
46154,Second Class,Standard Class
2267,Second Class,Standard Class
34585,Standard Class,Standard Class
16653,Standard Class,Standard Class
30799,First Class,Standard Class
22302,Standard Class,Standard Class
796,Standard Class,Standard Class
6838,Standard Class,Standard Class
37960,Standard Class,Standard Class
15578,Standard Class,Standard Class
28216,First Class,Standard Class
32341,Standard Class,Standard Class
37634,Standard Class,Standard Class
2497,Second Class,Standard Class
3843,Second Class,Standard Class
33667,Standard Class,Standard Class
42148,Standard Class,Standard Class
22303,Standard Class,Standard Class
34218,Standard Class,Standard Class
4204,Standard Class,Standard Class
25155,Second Class,Standard Class
20905,Standard Class,Standard Class
3294,First Class,Standard Class
24519,First Class,Standard Class
1631,First Class,
4097,Standard Class,Standard Class
42251,Standard Class,Standard Class
45947,Standard Class,Standard Class
46194,First Class,Standard Class
25018,Same Day,
6501,First Class,
6465,Second Class,Standard Class
19525,Standard Class,Standard Class
32591,Standard Class,Standard Class
31899,Second Class,
11206,Second Class,Standard Class
39676,Standard Class,Standard Class
19225,Standard Class,Standard Class
44799,Standard Class,Standard Class
36463,Standard Class,Standard Class
27449,First Class,Standard Class
40564,Standard Class,Standard Class
34687,Standard Class,Standard Class
21931,Standard Class,Standard Class
17318,Standard Class,Standard Class
38209,Standard Class,Standard Class
31103,Same Day,
19216,Standard Class,Standard Class
7136,Standard Class,Standard Class
11259,Second Class,Standard Class
41388,Standard Class,Standard Class
31122,Same Day,
15826,Standard Class,Standard Class
22824,Standard Class,Standard Class
20261,Standard Class,Standard Class
31426,Second Class,Standard Class
35490,Standard Class,Standard Class
30038,First Class,
44119,Standard Class,Standard Class
36363,Standard Class,Standard Class
28896,First Class,Standard Class
15931,Standard Class,Standard Class
40223,Standard Class,Standard Class
44221,Standard Class,Standard Class
24685,Second Class,Standard Class
32945,Standard Class,Standard Class
10729,Second Class,Standard Class
38281,Standard Class,Standard Class
43441,Standard Class,Standard Class
10702,First Class,Standard Class
39959,Standard Class,Standard Class
244,Standard Class,Standard Class
44075,Standard Class,Standard Class
25549,First Class,
17167,Standard Class,Standard Class
6228,First Class,
38143,Standard Class,Standard Class
22624,Standard Class,Standard Class
18785,Standard Class,Standard Class
12475,Second Class,Standard Class
16670,Standard Class,Standard Class
38658,Standard Class,Standard Class
34100,Standard Class,Standard Class
28158,First Class,Standard Class
18539,Standard Class,Standard Class
7854,Standard Class,Standard Class
33902,Standard Class,Standard Class
12135,Second Class,Standard Class
11426,Same Day,Standard Class
730,Standard Class,Standard Class
43611,Standard Class,Standard Class
26223,Second Class,Standard Class
17607,Standard Class,Standard Class
14845,Second Class,Standard Class
44304,Standard Class,Standard Class
11608,Second Class,Standard Class
46416,Standard Class,Standard Class
28006,First Class,Standard Class
8119,Standard Class,Standard Class
19319,Standard Class,Standard Class
7128,Standard Class,Standard Class
32903,Standard Class,Standard Class
41359,Standard Class,Standard Class
31316,Second Class,Standard Class
42309,Standard Class,Standard Class
21749,Standard Class,Standard Class
43200,Standard Class,Standard Class
14688,Second Class,Standard Class
5508,Standard Class,Standard Class
28608,First Class,
47637,Standard Class,Standard Class
19176,Standard Class,Standard Class
1339,Second Class,Standard Class
10698,Second Class,Standard Class
35162,Standard Class,Standard Class
2399,First Class,Standard Class
28733,First Class,
32206,Second Class,
38246,Standard Class,Standard Class
24829,Second Class,Standard Class
40228,Standard Class,Standard Class
27119,Same Day,
15420,Standard Class,Standard Class
2401,First Class,
8415,Standard Class,Standard Class
30613,First Class,Standard Class
21884,Standard Class,Standard Class
22065,Standard Class,Standard Class
43896,Standard Class,Standard Class
36897,Standard Class,Standard Class
7895,Standard Class,Standard Class
27124,Second Class,Standard Class
35962,Standard Class,Standard Class
18314,Standard Class,Standard Class
47118,Second Class,Standard Class
31214,Second Class,Standard Class
47239,Standard Class,Standard Class
28992,First Class,
49055,Standard Class,Standard Class
43149,Standard Class,Standard Class
6084,Second Class,Standard Class
41481,Standard Class,Standard Class
23496,Standard Class,Standard Class
20400,Standard Class,Standard Class
17431,Standard Class,Standard Class
42417,Standard Class,Standard Class
22154,Standard Class,Standard Class
5638,Standard Class,Standard Class
40562,Standard Class,Standard Class
46595,Standard Class,Standard Class
8724,Standard Class,Standard Class
25216,First Class,Standard Class
33408,Standard Class,Standard Class
17035,Standard Class,Standard Class
35827,Standard Class,Standard Class
40431,Standard Class,Standard Class
28918,First Class,Standard Class
21526,Standard Class,Standard Class
4885,Standard Class,Standard Class
41629,Standard Class,Standard Class
21448,Standard Class,Standard Class
5202,Standard Class,Standard Class
33454,Standard Class,Standard Class
30996,Same Day,Standard Class
5967,First Class,Standard Class
22571,Standard Class,Standard Class
40069,Standard Class,Standard Class
49383,Standard Class,Standard Class
9067,Standard Class,Standard Class
32953,Standard Class,Standard Class
46562,Standard Class,Standard Class
22507,Standard Class,Standard Class
29153,Second Class,Standard Class
34092,Standard Class,Standard Class
38006,Standard Class,Standard Class
40805,Standard Class,Standard Class
21211,Standard Class,Standard Class
1698,Second Class,Standard Class
30202,First Class,Standard Class
28311,Same Day,
37887,Standard Class,Standard Class
30326,First Class,Standard Class
19455,Standard Class,Standard Class
47848,Second Class,Standard Class
37935,Standard Class,Standard Class
9702,Same Day,Standard Class
48960,Standard Class,Standard Class
46459,Standard Class,Standard Class
39092,Standard Class,Standard Class
36770,Standard Class,Standard Class
32543,Standard Class,Standard Class
24975,Second Class,Standard Class
35565,Standard Class,Standard Class
31190,Second Class,Standard Class
49357,Standard Class,Standard Class
24649,First Class,Standard Class
19324,Standard Class,Standard Class
47152,Same Day,Standard Class
48322,Standard Class,Standard Class
43925,Standard Class,Standard Class
40377,Standard Class,Standard Class
6103,First Class,Standard Class
21364,Standard Class,Standard Class
8275,Standard Class,Standard Class
32675,Standard Class,Standard Class
30484,First Class,Standard Class
20091,Standard Class,Standard Class
14920,Second Class,Standard Class
7222,Standard Class,Standard Class
23982,Second Class,Standard Class
5895,Same Day,
28512,First Class,Standard Class
36225,Standard Class,Standard Class
19143,Standard Class,Standard Class
28594,First Class,Standard Class
25616,First Class,
41909,Standard Class,Standard Class
33436,Standard Class,Standard Class
34550,Standard Class,Standard Class
23168,Standard Class,Standard Class
27466,Second Class,
35917,Standard Class,Standard Class
31393,Second Class,Standard Class
29441,Second Class,Standard Class
47623,First Class,Standard Class
8348,Standard Class,Standard Class
6072,Second Class,Standard Class
37039,Standard Class,Standard Class
30383,First Class,Standard Class
28127,Second Class,Standard Class
46770,Standard Class,Standard Class
27037,Second Class,Standard Class
29688,Second Class,Standard Class
38707,Standard Class,Standard Class
45883,Standard Class,Standard Class
21484,Standard Class,Standard Class
13492,First Class,Standard Class
33972,Standard Class,Standard Class
26645,Second Class,Standard Class
35190,Standard Class,Standard Class
20137,Standard Class,Standard Class
1416,First Class,Standard Class
14135,Second Class,Standard Class
655,Standard Class,Standard Class
39229,Standard Class,Standard Class
42102,Standard Class,Standard Class
19562,Standard Class,Standard Class
32747,Standard Class,Standard Class
39890,Standard Class,Standard Class
43992,Standard Class,Standard Class
34270,Standard Class,Standard Class
13513,First Class,Standard Class
25928,First Class,Standard Class
9676,First Class,Standard Class
43760,Standard Class,Standard Class
45145,Second Class,Standard Class
23855,Same Day,Standard Class
9900,First Class,Standard Class
33912,Standard Class,Standard Class
41164,Standard Class,Standard Class
39746,Standard Class,Standard Class
15555,Standard Class,Standard Class
16605,Standard Class,Standard Class
8455,Standard Class,Standard Class
20685,Standard Class,Standard Class
23358,Standard Class,Standard Class
13424,First Class,Standard Class
22761,Standard Class,Standard Class
14658,Second Class,Standard Class
41230,Standard Class,Standard Class
42950,Standard Class,Standard Class
4080,Standard Class,Standard Class
40023,Standard Class,Standard Class
28926,First Class,Standard Class
21259,Standard Class,Standard Class
12248,Second Class,
4707,Second Class,Standard Class
22057,Standard Class,Standard Class
12420,Same Day,Standard Class
5693,Standard Class,Standard Class
19905,Standard Class,Standard Class
11571,Second Class,Standard Class
43072,Standard Class,Standard Class
31572,Second Class,Standard Class
41532,Standard Class,Standard Class
40570,Standard Class,Standard Class
36980,Standard Class,Standard Class
47495,Second Class,
35211,Standard Class,Standard Class
12122,Second Class,
43726,Standard Class,Standard Class
10829,Second Class,Standard Class
15658,Standard Class,Standard Class
3174,Standard Class,Standard Class
19768,Standard Class,Standard Class
4540,Second Class,
23831,Same Day,Standard Class
20916,Standard Class,Standard Class
9613,Second Class,Standard Class
11386,First Class,Standard Class
15631,Standard Class,Standard Class
47539,First Class,Standard Class
20141,Standard Class,Standard Class
4451,Same Day,Standard Class
45078,Standard Class,Standard Class
37583,Standard Class,Standard Class
32228,Second Class,
25291,Second Class,Standard Class
2775,Standard Class,Standard Class
36217,Standard Class,Standard Class
26588,Second Class,Standard Class
20582,Standard Class,Standard Class
44137,Standard Class,Standard Class
37301,Standard Class,Standard Class
31114,Same Day,
15370,Standard Class,Standard Class
21650,Standard Class,Standard Class
35809,Standard Class,Standard Class
24568,First Class,Standard Class
1099,Standard Class,Standard Class
21825,Standard Class,Standard Class
26119,First Class,Standard Class
23353,Standard Class,Standard Class
19624,Standard Class,Standard Class
20759,Standard Class,Standard Class
14597,Second Class,Standard Class
39776,Standard Class,Standard Class
27734,First Class,
40538,Standard Class,Standard Class
12984,First Class,Standard Class
45106,Second Class,Standard Class
49299,Standard Class,Standard Class
24340,First Class,Standard Class
47923,Standard Class,Standard Class
12236,First Class,Standard Class
49370,Standard Class,Standard Class
40203,Standard Class,Standard Class
26685,Second Class,Standard Class
7164,Standard Class,Standard Class
25125,Second Class,
29732,Second Class,Standard Class
3637,Standard Class,Standard Class
9199,First Class,Standard Class
39467,Standard Class,Standard Class
6446,Second Class,Standard Class
35942,Standard Class,Standard Class
20342,Standard Class,Standard Class
35865,Standard Class,Standard Class
21067,Standard Class,Standard Class
35467,Standard Class,Standard Class
27923,Second Class,Standard Class
37418,Standard Class,Standard Class
11130,Second Class,Standard Class
14347,Second Class,Standard Class
44769,Standard Class,Standard Class
41440,Standard Class,Standard Class
3645,Standard Class,Standard Class
32813,Standard Class,Standard Class
7598,Standard Class,Standard Class
26462,Second Class,
39945,Standard Class,Standard Class
29913,Second Class,Standard Class
38070,Standard Class,Standard Class
32163,Second Class,Standard Class
20854,Standard Class,Standard Class
30410,First Class,Standard Class
9843,First Class,
11654,Second Class,Standard Class
19641,Standard Class,Standard Class
1516,First Class,Standard Class
20893,Standard Class,Standard Class
15078,Second Class,Standard Class
1798,Second Class,
7167,Standard Class,Standard Class
42808,Standard Class,Standard Class
8557,Standard Class,Standard Class
32428,Standard Class,Standard Class
5498,Standard Class,Standard Class
24810,Second Class,Standard Class
39218,Standard Class,Standard Class
17131,Standard Class,Standard Class
25518,Second Class,Standard Class
15019,Second Class,Standard Class
18813,Standard Class,Standard Class
41571,Standard Class,Standard Class
13933,Second Class,Standard Class
43369,Standard Class,Standard Class
31712,Second Class,Standard Class
28528,First Class,Standard Class
2632,Standard Class,Standard Class
41535,Standard Class,Standard Class
20810,Standard Class,Standard Class
10475,First Class,Standard Class
48680,Standard Class,Standard Class
44985,Standard Class,Standard Class
18065,Standard Class,Standard Class
41237,Standard Class,Standard Class
28070,First Class,Standard Class
30747,First Class,Standard Class
11236,First Class,Standard Class
22658,Standard Class,Standard Class
19660,Standard Class,Standard Class
38225,Standard Class,Standard Class
38946,Standard Class,Standard Class
42334,Standard Class,Standard Class
9854,Second Class,Standard Class
34394,Standard Class,Standard Class
40945,Standard Class,Standard Class
28712,First Class,
10759,First Class,Standard Class
6056,Second Class,Standard Class
45582,Standard Class,Standard Class
39831,Standard Class,Standard Class
42167,Standard Class,Standard Class
14522,Second Class,
41165,Standard Class,Standard Class
29271,Second Class,Standard Class
29325,Second Class,Standard Class
22770,Standard Class,Standard Class
45673,First Class,Standard Class
39389,Standard Class,Standard Class
32991,Standard Class,Standard Class
47540,First Class,Standard Class
23072,Standard Class,Standard Class
30040,First Class,
27335,Second Class,Standard Class
31871,Second Class,Standard Class
35505,Standard Class,Standard Class
1815,Second Class,Standard Class
36355,Standard Class,Standard Class
43401,Standard Class,Standard Class
28362,Same Day,Standard Class
5410,Standard Class,Standard Class
32582,Standard Class,Standard Class
14350,Second Class,Standard Class
22182,Standard Class,Standard Class
7913,Standard Class,Standard Class
47965,Standard Class,Standard Class
23345,Standard Class,Standard Class
28377,Same Day,
29348,Second Class,Standard Class
7468,Standard Class,Standard Class
7313,Standard Class,Standard Class
4243,Standard Class,Standard Class
20981,Standard Class,Standard Class
28943,First Class,
6285,First Class,Standard Class
45957,Standard Class,Standard Class
24053,Second Class,
4463,First Class,Standard Class
2943,Standard Class,Standard Class
4771,Second Class,
36616,Standard Class,Standard Class
44711,Standard Class,Standard Class
14328,Second Class,Standard Class
24414,Same Day,Standard Class
36201,Standard Class,Standard Class
10404,Same Day,Standard Class
12010,Second Class,Standard Class
29498,Second Class,Standard Class
29938,Second Class,Standard Class
5141,Standard Class,Standard Class
47168,Second Class,Standard Class
17560,Standard Class,Standard Class
47560,Standard Class,Standard Class
17926,Standard Class,Standard Class
17974,Standard Class,Standard Class
3298,Standard Class,Standard Class
23202,Standard Class,Standard Class
27411,Second Class,Standard Class
16215,Standard Class,Standard Class
23556,Second Class,Standard Class
29340,Second Class,Standard Class
17122,Standard Class,Standard Class
30995,Same Day,Standard Class
17066,Standard Class,Standard Class
42675,Standard Class,Standard Class
8063,Standard Class,Standard Class
9793,Second Class,Standard Class
8268,Standard Class,Standard Class
29843,Second Class,Standard Class
2055,First Class,Standard Class
42154,Standard Class,Standard Class
36269,Standard Class,Standard Class
1150,Standard Class,Standard Class
43888,Standard Class,Standard Class
34464,Standard Class,Standard Class
28749,First Class,
46245,Same Day,Standard Class
9038,Standard Class,Standard Class
41818,Standard Class,Standard Class
20638,Standard Class,Standard Class
22638,Standard Class,Standard Class
42155,Standard Class,Standard Class
2853,Standard Class,Standard Class
39102,Standard Class,Standard Class
16339,Standard Class,Standard Class
3627,Standard Class,Standard Class
40957,Standard Class,Standard Class
10592,Second Class,Standard Class
36692,Standard Class,Standard Class
10198,Second Class,Standard Class
19252,Standard Class,Standard Class
25428,First Class,Standard Class
18055,Standard Class,Standard Class
29008,First Class,Standard Class
25223,Second Class,
21766,Standard Class,Standard Class
28958,First Class,Standard Class
37121,Standard Class,Standard Class
570,Standard Class,Standard Class
30389,First Class,Standard Class
21984,Standard Class,Standard Class
10782,First Class,Standard Class
21481,Standard Class,Standard Class
26636,Second Class,Standard Class
40033,Standard Class,Standard Class
41218,Standard Class,Standard Class
24218,Second Class,Standard Class
17073,Standard Class,Standard Class
9883,First Class,
41795,Standard Class,Standard Class
5525,Standard Class,Standard Class
22468,Standard Class,Standard Class
36488,Standard Class,Standard Class
26511,Second Class,Standard Class
36851,Standard Class,Standard Class
5431,Standard Class,Standard Class
22041,Standard Class,Standard Class
10989,First Class,Standard Class
26817,Second Class,Standard Class
35553,Standard Class,Standard Class
11715,First Class,Standard Class
47101,Same Day,Standard Class
38538,Standard Class,Standard Class
47880,Standard Class,Standard Class
12216,First Class,Standard Class
24477,First Class,
49312,Standard Class,Standard Class
1488,First Class,Standard Class
1848,First Class,Standard Class
21141,Standard Class,Standard Class
17746,Standard Class,Standard Class
37035,Standard Class,Standard Class
42326,Standard Class,Standard Class
46138,First Class,Standard Class
12602,Same Day,Standard Class
48510,First Class,Standard Class
36416,Standard Class,Standard Class
9206,Second Class,
42626,Standard Class,Standard Class
43365,Standard Class,Standard Class
28434,Same Day,Standard Class
46603,Standard Class,Standard Class
33618,Standard Class,Standard Class
24889,Second Class,Standard Class
24262,Second Class,Standard Class
29275,Second Class,Standard Class
11039,First Class,Standard Class
7087,Standard Class,Standard Class
45384,Standard Class,Standard Class
48036,Second Class,Standard Class
10339,Second Class,Standard Class
38970,Standard Class,Standard Class
26658,Second Class,Standard Class
29974,Second Class,Standard Class
32327,Standard Class,Standard Class
32273,Second Class,Standard Class
15397,Standard Class,Standard Class
30550,First Class,Standard Class
48818,Second Class,Standard Class
28938,First Class,Standard Class
47588,Standard Class,Standard Class
3147,Standard Class,Standard Class
